instant_x,dateday,season_x,year_x,month_x,hour,holiday_x,weekday_x,workingday_x,weathercituation_x,temp_x,atemp_x,humidity_x,windspeed_x,unregistered_x,registered_x,count_x,instant_y,season_y,year_y,month_y,holiday_y,weekday_y,workingday_y,weathercituation_y,temp_y,atemp_y,humidity_y,windspeed_y,unregistered_y,registered_y,count_y,season_type,recency,frequency,monetary,R,F,M,RFM_Score
19,2011-01-01,1,2011,1,18,0,6,0,3,0.42,0.4242,0.88,0.2537,9,26,35,1,1,2011,1,0,6,0,2,0.344167,0.363625,0.805833,0.160446,331,654,985,Springer,4812,1020,645100,4,1,1,411
20,2011-01-01,1,2011,1,19,0,6,0,3,0.42,0.4242,0.88,0.2537,6,31,37,1,1,2011,1,0,6,0,2,0.344167,0.363625,0.805833,0.160446,331,654,985,Springer,4812,1022,645337,4,1,1,411
21,2011-01-01,1,2011,1,20,0,6,0,2,0.4,0.4091,0.87,0.2537,11,25,36,1,1,2011,1,0,6,0,2,0.344167,0.363625,0.805833,0.160446,331,654,985,Springer,4812,1021,645090,4,1,1,411
22,2011-01-01,1,2011,1,21,0,6,0,2,0.4,0.4091,0.87,0.194,3,31,34,1,1,2011,1,0,6,0,2,0.344167,0.363625,0.805833,0.160446,331,654,985,Springer,4812,1019,645244,4,1,1,411
23,2011-01-01,1,2011,1,22,0,6,0,2,0.4,0.4091,0.94,0.2239,11,17,28,1,1,2011,1,0,6,0,2,0.344167,0.363625,0.805833,0.160446,331,654,985,Springer,4812,1013,644666,4,1,1,411
24,2011-01-01,1,2011,1,23,0,6,0,2,0.46,0.4545,0.88,0.2985,15,24,39,1,1,2011,1,0,6,0,2,0.344167,0.363625,0.805833,0.160446,331,654,985,Springer,4812,1024,645126,4,1,1,411
25,2011-01-02,1,2011,1,0,0,0,0,2,0.46,0.4545,0.88,0.2985,4,13,17,2,1,2011,1,0,0,0,2,0.363478,0.353739,0.696087,0.248539,131,670,801,Springer,4811,818,536891,4,1,1,411
26,2011-01-02,1,2011,1,1,0,0,0,2,0.44,0.4394,0.94,0.2537,1,16,17,2,1,2011,1,0,0,0,2,0.363478,0.353739,0.696087,0.248539,131,670,801,Springer,4811,818,536942,4,1,1,411
27,2011-01-02,1,2011,1,2,0,0,0,2,0.42,0.4242,1.0,0.2836,1,8,9,2,1,2011,1,0,0,0,2,0.363478,0.353739,0.696087,0.248539,131,670,801,Springer,4811,810,536742,4,1,1,411
28,2011-01-02,1,2011,1,3,0,0,0,2,0.46,0.4545,0.94,0.194,2,4,6,2,1,2011,1,0,0,0,2,0.363478,0.353739,0.696087,0.248539,131,670,801,Springer,4811,807,536694,4,1,1,411
29,2011-01-02,1,2011,1,4,0,0,0,2,0.46,0.4545,0.94,0.194,2,1,3,2,1,2011,1,0,0,0,2,0.363478,0.353739,0.696087,0.248539,131,670,801,Springer,4811,804,536673,4,1,1,411
30,2011-01-02,1,2011,1,6,0,0,0,3,0.42,0.4242,0.77,0.2985,0,2,2,2,1,2011,1,0,0,0,2,0.363478,0.353739,0.696087,0.248539,131,670,801,Springer,4811,803,536674,4,1,1,411
31,2011-01-02,1,2011,1,7,0,0,0,2,0.4,0.4091,0.76,0.194,0,1,1,2,1,2011,1,0,0,0,2,0.363478,0.353739,0.696087,0.248539,131,670,801,Springer,4811,802,536671,4,1,1,411
32,2011-01-02,1,2011,1,8,0,0,0,3,0.4,0.4091,0.71,0.2239,0,8,8,2,1,2011,1,0,0,0,2,0.363478,0.353739,0.696087,0.248539,131,670,801,Springer,4811,809,536734,4,1,1,411
33,2011-01-02,1,2011,1,9,0,0,0,2,0.38,0.3939,0.76,0.2239,1,19,20,2,1,2011,1,0,0,0,2,0.363478,0.353739,0.696087,0.248539,131,670,801,Springer,4811,821,537050,4,1,1,411
34,2011-01-02,1,2011,1,10,0,0,0,2,0.36,0.3485,0.81,0.2239,7,46,53,2,1,2011,1,0,0,0,2,0.363478,0.353739,0.696087,0.248539,131,670,801,Springer,4811,854,539108,4,1,1,411
35,2011-01-02,1,2011,1,11,0,0,0,2,0.36,0.3333,0.71,0.2537,16,54,70,2,1,2011,1,0,0,0,2,0.363478,0.353739,0.696087,0.248539,131,670,801,Springer,4811,871,540450,4,1,1,411
36,2011-01-02,1,2011,1,12,0,0,0,2,0.36,0.3333,0.66,0.2985,20,73,93,2,1,2011,1,0,0,0,2,0.363478,0.353739,0.696087,0.248539,131,670,801,Springer,4811,894,543459,4,1,1,411
37,2011-01-02,1,2011,1,13,0,0,0,2,0.36,0.3485,0.66,0.1343,11,64,75,2,1,2011,1,0,0,0,2,0.363478,0.353739,0.696087,0.248539,131,670,801,Springer,4811,876,541470,4,1,1,411
38,2011-01-02,1,2011,1,14,0,0,0,3,0.36,0.3485,0.76,0.194,4,55,59,2,1,2011,1,0,0,0,2,0.363478,0.353739,0.696087,0.248539,131,670,801,Springer,4811,860,539915,4,1,1,411
39,2011-01-02,1,2011,1,15,0,0,0,3,0.34,0.3333,0.81,0.1642,19,55,74,2,1,2011,1,0,0,0,2,0.363478,0.353739,0.696087,0.248539,131,670,801,Springer,4811,875,540740,4,1,1,411
40,2011-01-02,1,2011,1,16,0,0,0,3,0.34,0.3333,0.71,0.1642,9,67,76,2,1,2011,1,0,0,0,2,0.363478,0.353739,0.696087,0.248539,131,670,801,Springer,4811,877,541762,4,1,1,411
41,2011-01-02,1,2011,1,17,0,0,0,1,0.34,0.3333,0.57,0.194,7,58,65,2,1,2011,1,0,0,0,2,0.363478,0.353739,0.696087,0.248539,131,670,801,Springer,4811,866,540440,4,1,1,411
42,2011-01-02,1,2011,1,18,0,0,0,2,0.36,0.3333,0.46,0.3284,10,43,53,2,1,2011,1,0,0,0,2,0.363478,0.353739,0.696087,0.248539,131,670,801,Springer,4811,854,538949,4,1,1,411
43,2011-01-02,1,2011,1,19,0,0,0,1,0.32,0.2879,0.42,0.4478,1,29,30,2,1,2011,1,0,0,0,2,0.363478,0.353739,0.696087,0.248539,131,670,801,Springer,4811,831,537540,4,1,1,411
44,2011-01-02,1,2011,1,20,0,0,0,1,0.3,0.2727,0.39,0.3582,5,17,22,2,1,2011,1,0,0,0,2,0.363478,0.353739,0.696087,0.248539,131,670,801,Springer,4811,823,537044,4,1,1,411
45,2011-01-02,1,2011,1,21,0,0,0,1,0.26,0.2273,0.44,0.3284,11,20,31,2,1,2011,1,0,0,0,2,0.363478,0.353739,0.696087,0.248539,131,670,801,Springer,4811,832,537290,4,1,1,411
46,2011-01-02,1,2011,1,22,0,0,0,1,0.24,0.2121,0.44,0.2985,0,9,9,2,1,2011,1,0,0,0,2,0.363478,0.353739,0.696087,0.248539,131,670,801,Springer,4811,810,536751,4,1,1,411
47,2011-01-02,1,2011,1,23,0,0,0,1,0.22,0.2273,0.47,0.1642,0,8,8,2,1,2011,1,0,0,0,2,0.363478,0.353739,0.696087,0.248539,131,670,801,Springer,4811,809,536734,4,1,1,411
48,2011-01-03,1,2011,1,0,0,1,1,1,0.22,0.197,0.44,0.3582,0,5,5,3,1,2011,1,0,1,1,1,0.196364,0.189405,0.437273,0.248309,120,1229,1349,Springer,4810,1354,1657946,4,1,1,411
49,2011-01-03,1,2011,1,1,0,1,1,1,0.2,0.1667,0.44,0.4179,0,2,2,3,1,2011,1,0,1,1,1,0.196364,0.189405,0.437273,0.248309,120,1229,1349,Springer,4810,1351,1657925,4,1,1,411
50,2011-01-03,1,2011,1,4,0,1,1,1,0.16,0.1364,0.47,0.3881,0,1,1,3,1,2011,1,0,1,1,1,0.196364,0.189405,0.437273,0.248309,120,1229,1349,Springer,4810,1350,1657922,4,1,1,411
51,2011-01-03,1,2011,1,5,0,1,1,1,0.16,0.1364,0.47,0.2836,0,3,3,3,1,2011,1,0,1,1,1,0.196364,0.189405,0.437273,0.248309,120,1229,1349,Springer,4810,1352,1657930,4,1,1,411
52,2011-01-03,1,2011,1,6,0,1,1,1,0.14,0.1061,0.5,0.3881,0,30,30,3,1,2011,1,0,1,1,1,0.196364,0.189405,0.437273,0.248309,120,1229,1349,Springer,4810,1379,1658821,4,1,1,411
53,2011-01-03,1,2011,1,7,0,1,1,1,0.14,0.1364,0.5,0.194,1,63,64,3,1,2011,1,0,1,1,1,0.196364,0.189405,0.437273,0.248309,120,1229,1349,Springer,4810,1413,1661953,4,1,1,411
54,2011-01-03,1,2011,1,8,0,1,1,1,0.14,0.1212,0.5,0.2836,1,153,154,3,1,2011,1,0,1,1,1,0.196364,0.189405,0.437273,0.248309,120,1229,1349,Springer,4810,1503,1681483,4,1,1,411
55,2011-01-03,1,2011,1,9,0,1,1,1,0.16,0.1364,0.43,0.3881,7,81,88,3,1,2011,1,0,1,1,1,0.196364,0.189405,0.437273,0.248309,120,1229,1349,Springer,4810,1437,1665049,4,1,1,411
56,2011-01-03,1,2011,1,10,0,1,1,1,0.18,0.1667,0.43,0.2537,11,33,44,3,1,2011,1,0,1,1,1,0.196364,0.189405,0.437273,0.248309,120,1229,1349,Springer,4810,1393,1659373,4,1,1,411
57,2011-01-03,1,2011,1,11,0,1,1,1,0.2,0.1818,0.4,0.3284,10,41,51,3,1,2011,1,0,1,1,1,0.196364,0.189405,0.437273,0.248309,120,1229,1349,Springer,4810,1400,1660012,4,1,1,411
58,2011-01-03,1,2011,1,12,0,1,1,1,0.22,0.2121,0.35,0.2985,13,48,61,3,1,2011,1,0,1,1,1,0.196364,0.189405,0.437273,0.248309,120,1229,1349,Springer,4810,1410,1660849,4,1,1,411
59,2011-01-03,1,2011,1,13,0,1,1,1,0.24,0.2121,0.35,0.2836,8,53,61,3,1,2011,1,0,1,1,1,0.196364,0.189405,0.437273,0.248309,120,1229,1349,Springer,4810,1410,1661154,4,1,1,411
60,2011-01-03,1,2011,1,14,0,1,1,1,0.26,0.2424,0.3,0.2836,11,66,77,3,1,2011,1,0,1,1,1,0.196364,0.189405,0.437273,0.248309,120,1229,1349,Springer,4810,1426,1663003,4,1,1,411
61,2011-01-03,1,2011,1,15,0,1,1,1,0.26,0.2424,0.3,0.2537,14,58,72,3,1,2011,1,0,1,1,1,0.196364,0.189405,0.437273,0.248309,120,1229,1349,Springer,4810,1421,1662097,4,1,1,411
62,2011-01-03,1,2011,1,16,0,1,1,1,0.26,0.2424,0.3,0.2537,9,67,76,3,1,2011,1,0,1,1,1,0.196364,0.189405,0.437273,0.248309,120,1229,1349,Springer,4810,1425,1663013,4,1,1,411
63,2011-01-03,1,2011,1,17,0,1,1,1,0.24,0.2273,0.3,0.2239,11,146,157,3,1,2011,1,0,1,1,1,0.196364,0.189405,0.437273,0.248309,120,1229,1349,Springer,4810,1506,1680843,4,1,1,411
64,2011-01-03,1,2011,1,18,0,1,1,1,0.24,0.2576,0.32,0.1045,9,148,157,3,1,2011,1,0,1,1,1,0.196364,0.189405,0.437273,0.248309,120,1229,1349,Springer,4810,1506,1681157,4,1,1,411
65,2011-01-03,1,2011,1,19,0,1,1,1,0.2,0.2576,0.47,0.0,8,102,110,3,1,2011,1,0,1,1,1,0.196364,0.189405,0.437273,0.248309,120,1229,1349,Springer,4810,1459,1669141,4,1,1,411
66,2011-01-03,1,2011,1,20,0,1,1,1,0.2,0.2273,0.47,0.1045,3,49,52,3,1,2011,1,0,1,1,1,0.196364,0.189405,0.437273,0.248309,120,1229,1349,Springer,4810,1401,1660469,4,1,1,411
67,2011-01-03,1,2011,1,21,0,1,1,1,0.18,0.197,0.64,0.1343,3,49,52,3,1,2011,1,0,1,1,1,0.196364,0.189405,0.437273,0.248309,120,1229,1349,Springer,4810,1401,1660469,4,1,1,411
68,2011-01-03,1,2011,1,22,0,1,1,1,0.14,0.1515,0.69,0.1343,0,20,20,3,1,2011,1,0,1,1,1,0.196364,0.189405,0.437273,0.248309,120,1229,1349,Springer,4810,1369,1658321,4,1,1,411
69,2011-01-03,1,2011,1,23,0,1,1,1,0.18,0.2121,0.55,0.1045,1,11,12,3,1,2011,1,0,1,1,1,0.196364,0.189405,0.437273,0.248309,120,1229,1349,Springer,4810,1361,1658053,4,1,1,411
70,2011-01-04,1,2011,1,0,0,2,1,1,0.16,0.1818,0.55,0.1045,0,5,5,4,1,2011,1,0,2,1,1,0.2,0.212122,0.590435,0.160296,108,1454,1562,Springer,4809,1567,2271173,4,1,1,411
71,2011-01-04,1,2011,1,1,0,2,1,1,0.16,0.1818,0.59,0.1045,0,2,2,4,1,2011,1,0,2,1,1,0.2,0.212122,0.590435,0.160296,108,1454,1562,Springer,4809,1564,2271152,4,1,1,411
72,2011-01-04,1,2011,1,2,0,2,1,1,0.14,0.1515,0.63,0.1343,0,1,1,4,1,2011,1,0,2,1,1,0.2,0.212122,0.590435,0.160296,108,1454,1562,Springer,4809,1563,2271149,4,1,1,411
73,2011-01-04,1,2011,1,4,0,2,1,1,0.14,0.1818,0.63,0.0896,0,2,2,4,1,2011,1,0,2,1,1,0.2,0.212122,0.590435,0.160296,108,1454,1562,Springer,4809,1564,2271152,4,1,1,411
74,2011-01-04,1,2011,1,5,0,2,1,1,0.12,0.1515,0.68,0.1045,0,4,4,4,1,2011,1,0,2,1,1,0.2,0.212122,0.590435,0.160296,108,1454,1562,Springer,4809,1566,2271164,4,1,1,411
75,2011-01-04,1,2011,1,6,0,2,1,1,0.12,0.1515,0.74,0.1045,0,36,36,4,1,2011,1,0,2,1,1,0.2,0.212122,0.590435,0.160296,108,1454,1562,Springer,4809,1598,2272444,4,1,1,411
76,2011-01-04,1,2011,1,7,0,2,1,1,0.12,0.1515,0.74,0.1343,2,92,94,4,1,2011,1,0,2,1,1,0.2,0.212122,0.590435,0.160296,108,1454,1562,Springer,4809,1656,2279796,4,1,1,411
77,2011-01-04,1,2011,1,8,0,2,1,1,0.14,0.1515,0.69,0.1642,2,177,179,4,1,2011,1,0,2,1,1,0.2,0.212122,0.590435,0.160296,108,1454,1562,Springer,4809,1741,2302831,4,1,1,411
78,2011-01-04,1,2011,1,9,0,2,1,1,0.16,0.1515,0.64,0.2239,2,98,100,4,1,2011,1,0,2,1,1,0.2,0.212122,0.590435,0.160296,108,1454,1562,Springer,4809,1662,2280948,4,1,1,411
79,2011-01-04,1,2011,1,10,0,2,1,2,0.16,0.1364,0.69,0.3284,5,37,42,4,1,2011,1,0,2,1,1,0.2,0.212122,0.590435,0.160296,108,1454,1562,Springer,4809,1604,2272702,4,1,1,411
80,2011-01-04,1,2011,1,11,0,2,1,1,0.22,0.2121,0.51,0.2985,7,50,57,4,1,2011,1,0,2,1,1,0.2,0.212122,0.590435,0.160296,108,1454,1562,Springer,4809,1619,2273998,4,1,1,411
81,2011-01-04,1,2011,1,12,0,2,1,1,0.22,0.2273,0.51,0.1642,12,66,78,4,1,2011,1,0,2,1,1,0.2,0.212122,0.590435,0.160296,108,1454,1562,Springer,4809,1640,2276296,4,1,1,411
82,2011-01-04,1,2011,1,13,0,2,1,1,0.24,0.2273,0.56,0.194,18,79,97,4,1,2011,1,0,2,1,1,0.2,0.212122,0.590435,0.160296,108,1454,1562,Springer,4809,1659,2278811,4,1,1,411
83,2011-01-04,1,2011,1,14,0,2,1,1,0.26,0.2576,0.52,0.2239,9,54,63,4,1,2011,1,0,2,1,1,0.2,0.212122,0.590435,0.160296,108,1454,1562,Springer,4809,1625,2274550,4,1,1,411
84,2011-01-04,1,2011,1,15,0,2,1,1,0.28,0.2727,0.52,0.2537,17,48,65,4,1,2011,1,0,2,1,1,0.2,0.212122,0.590435,0.160296,108,1454,1562,Springer,4809,1627,2274268,4,1,1,411
85,2011-01-04,1,2011,1,16,0,2,1,1,0.3,0.2879,0.49,0.2537,15,68,83,4,1,2011,1,0,2,1,1,0.2,0.212122,0.590435,0.160296,108,1454,1562,Springer,4809,1645,2276792,4,1,1,411
86,2011-01-04,1,2011,1,17,0,2,1,1,0.28,0.2727,0.48,0.2239,10,202,212,4,1,2011,1,0,2,1,1,0.2,0.212122,0.590435,0.160296,108,1454,1562,Springer,4809,1774,2313972,4,1,1,411
87,2011-01-04,1,2011,1,18,0,2,1,1,0.26,0.2576,0.48,0.194,3,179,182,4,1,2011,1,0,2,1,1,0.2,0.212122,0.590435,0.160296,108,1454,1562,Springer,4809,1744,2303726,4,1,1,411
88,2011-01-04,1,2011,1,19,0,2,1,1,0.24,0.2576,0.48,0.1045,2,110,112,4,1,2011,1,0,2,1,1,0.2,0.212122,0.590435,0.160296,108,1454,1562,Springer,4809,1674,2283468,4,1,1,411
89,2011-01-04,1,2011,1,20,0,2,1,1,0.24,0.2576,0.48,0.1045,1,53,54,4,1,2011,1,0,2,1,1,0.2,0.212122,0.590435,0.160296,108,1454,1562,Springer,4809,1616,2274010,4,1,1,411
90,2011-01-04,1,2011,1,21,0,2,1,1,0.22,0.2727,0.64,0.0,0,48,48,4,1,2011,1,0,2,1,1,0.2,0.212122,0.590435,0.160296,108,1454,1562,Springer,4809,1610,2273452,4,1,1,411
91,2011-01-04,1,2011,1,22,0,2,1,1,0.22,0.2576,0.64,0.0896,1,34,35,4,1,2011,1,0,2,1,1,0.2,0.212122,0.590435,0.160296,108,1454,1562,Springer,4809,1597,2272338,4,1,1,411
92,2011-01-04,1,2011,1,23,0,2,1,1,0.2,0.2273,0.69,0.0896,2,9,11,4,1,2011,1,0,2,1,1,0.2,0.212122,0.590435,0.160296,108,1454,1562,Springer,4809,1573,2271247,4,1,1,411
93,2011-01-05,1,2011,1,0,0,3,1,1,0.2,0.2576,0.64,0.0,0,6,6,5,1,2011,1,0,3,1,1,0.226957,0.22927,0.436957,0.1869,82,1518,1600,Springer,4808,1606,2428836,4,1,1,411
94,2011-01-05,1,2011,1,1,0,3,1,1,0.16,0.197,0.74,0.0896,0,6,6,5,1,2011,1,0,3,1,1,0.226957,0.22927,0.436957,0.1869,82,1518,1600,Springer,4808,1606,2428836,4,1,1,411
95,2011-01-05,1,2011,1,2,0,3,1,1,0.16,0.197,0.74,0.0896,0,2,2,5,1,2011,1,0,3,1,1,0.226957,0.22927,0.436957,0.1869,82,1518,1600,Springer,4808,1602,2428804,4,1,1,411
96,2011-01-05,1,2011,1,4,0,3,1,1,0.24,0.2273,0.48,0.2239,0,2,2,5,1,2011,1,0,3,1,1,0.226957,0.22927,0.436957,0.1869,82,1518,1600,Springer,4808,1602,2428804,4,1,1,411
97,2011-01-05,1,2011,1,5,0,3,1,1,0.22,0.2273,0.47,0.1642,0,3,3,5,1,2011,1,0,3,1,1,0.226957,0.22927,0.436957,0.1869,82,1518,1600,Springer,4808,1603,2428809,4,1,1,411
98,2011-01-05,1,2011,1,6,0,3,1,1,0.2,0.197,0.47,0.2239,0,33,33,5,1,2011,1,0,3,1,1,0.226957,0.22927,0.436957,0.1869,82,1518,1600,Springer,4808,1633,2429889,4,1,1,411
99,2011-01-05,1,2011,1,7,0,3,1,1,0.18,0.1818,0.43,0.194,1,87,88,5,1,2011,1,0,3,1,1,0.226957,0.22927,0.436957,0.1869,82,1518,1600,Springer,4808,1688,2436456,4,1,1,411
100,2011-01-05,1,2011,1,8,0,3,1,1,0.2,0.1818,0.4,0.2985,3,192,195,5,1,2011,1,0,3,1,1,0.226957,0.22927,0.436957,0.1869,82,1518,1600,Springer,4808,1795,2466240,4,1,1,411
101,2011-01-05,1,2011,1,9,0,3,1,1,0.22,0.197,0.37,0.3284,6,109,115,5,1,2011,1,0,3,1,1,0.226957,0.22927,0.436957,0.1869,82,1518,1600,Springer,4808,1715,2441335,4,1,1,411
102,2011-01-05,1,2011,1,10,0,3,1,1,0.22,0.197,0.37,0.3284,4,53,57,5,1,2011,1,0,3,1,1,0.226957,0.22927,0.436957,0.1869,82,1518,1600,Springer,4808,1657,2431821,4,1,1,411
103,2011-01-05,1,2011,1,11,0,3,1,1,0.26,0.2273,0.33,0.3284,12,34,46,5,1,2011,1,0,3,1,1,0.226957,0.22927,0.436957,0.1869,82,1518,1600,Springer,4808,1646,2430364,4,1,1,411
104,2011-01-05,1,2011,1,12,0,3,1,1,0.26,0.2273,0.33,0.3284,5,74,79,5,1,2011,1,0,3,1,1,0.226957,0.22927,0.436957,0.1869,82,1518,1600,Springer,4808,1679,2434646,4,1,1,411
105,2011-01-05,1,2011,1,13,0,3,1,1,0.28,0.2576,0.3,0.2985,6,65,71,5,1,2011,1,0,3,1,1,0.226957,0.22927,0.436957,0.1869,82,1518,1600,Springer,4808,1671,2433415,4,1,1,411
106,2011-01-05,1,2011,1,14,0,3,1,1,0.3,0.2879,0.28,0.194,10,52,62,5,1,2011,1,0,3,1,1,0.226957,0.22927,0.436957,0.1869,82,1518,1600,Springer,4808,1662,2432024,4,1,1,411
107,2011-01-05,1,2011,1,15,0,3,1,1,0.3,0.2879,0.28,0.194,7,55,62,5,1,2011,1,0,3,1,1,0.226957,0.22927,0.436957,0.1869,82,1518,1600,Springer,4808,1662,2432210,4,1,1,411
108,2011-01-05,1,2011,1,16,0,3,1,1,0.3,0.3182,0.28,0.0896,4,85,89,5,1,2011,1,0,3,1,1,0.226957,0.22927,0.436957,0.1869,82,1518,1600,Springer,4808,1689,2436365,4,1,1,411
109,2011-01-05,1,2011,1,17,0,3,1,1,0.24,0.2273,0.38,0.194,4,186,190,5,1,2011,1,0,3,1,1,0.226957,0.22927,0.436957,0.1869,82,1518,1600,Springer,4808,1790,2464140,4,1,1,411
110,2011-01-05,1,2011,1,18,0,3,1,1,0.24,0.2424,0.38,0.1343,3,166,169,5,1,2011,1,0,3,1,1,0.226957,0.22927,0.436957,0.1869,82,1518,1600,Springer,4808,1769,2456854,4,1,1,411
111,2011-01-05,1,2011,1,19,0,3,1,1,0.24,0.2576,0.38,0.1045,5,127,132,5,1,2011,1,0,3,1,1,0.226957,0.22927,0.436957,0.1869,82,1518,1600,Springer,4808,1732,2445564,4,1,1,411
112,2011-01-05,1,2011,1,20,0,3,1,1,0.22,0.2273,0.47,0.1642,7,82,89,5,1,2011,1,0,3,1,1,0.226957,0.22927,0.436957,0.1869,82,1518,1600,Springer,4808,1689,2436098,4,1,1,411
113,2011-01-05,1,2011,1,21,0,3,1,1,0.2,0.197,0.51,0.194,3,40,43,5,1,2011,1,0,3,1,1,0.226957,0.22927,0.436957,0.1869,82,1518,1600,Springer,4808,1643,2430520,4,1,1,411
114,2011-01-05,1,2011,1,22,0,3,1,1,0.18,0.197,0.55,0.1343,1,41,42,5,1,2011,1,0,3,1,1,0.226957,0.22927,0.436957,0.1869,82,1518,1600,Springer,4808,1642,2430522,4,1,1,411
115,2011-01-05,1,2011,1,23,0,3,1,1,0.2,0.2576,0.47,0.0,1,18,19,5,1,2011,1,0,3,1,1,0.226957,0.22927,0.436957,0.1869,82,1518,1600,Springer,4808,1619,2429142,4,1,1,411
116,2011-01-06,1,2011,1,0,0,4,1,1,0.18,0.2424,0.55,0.0,0,11,11,6,1,2011,1,0,4,1,1,0.204348,0.233209,0.518261,0.0895652,88,1518,1606,Springer,4807,1617,2438029,4,1,1,411
117,2011-01-06,1,2011,1,1,0,4,1,1,0.16,0.2273,0.64,0.0,0,4,4,6,1,2011,1,0,4,1,1,0.204348,0.233209,0.518261,0.0895652,88,1518,1606,Springer,4807,1610,2437924,4,1,1,411
118,2011-01-06,1,2011,1,2,0,4,1,1,0.16,0.2273,0.64,0.0,0,2,2,6,1,2011,1,0,4,1,1,0.204348,0.233209,0.518261,0.0895652,88,1518,1606,Springer,4807,1608,2437912,4,1,1,411
